nome_evento,edicao,abrangencia,tamanho,segmento,acesso_evento,mes_evento,data_inicio,data_fim,local,cidade,uf,promotor,telefone,site_feira
Catarina Aviation Show 2026,5ª edição,Nacional,de 5.000 a 10.000,Aeronáutica e Tecnologia para Aeroportos,Especializado mediante convite,maio,21 de maio de 2026,23 de maio de 2026,São Paulo Catarina Aeroporto Executivo Internacional,São Roque,SP,NürnbergMesse Brasil,11 3205-5000,http://www.catarinaaviationshow.com.br
BNT MERCOSUL - Bolsa de Negócios Turísticos do Mercosul,32ª edição,Nacional,acima de 10.000,"Turismo, Hotéis, Bares e Restaurantes",Restrito a profissionais do setor,maio,21 de maio de 2026,23 de maio de 2026,Expocentro Balneário Camboriú,Balneário Camboriú,SC,BNT Feiras e Congressos,47 3367-1119,http://www.bntmercosul.com.br
Feira Super Casa (Super Casa Chapecó 2026),,Regional,selecione,"Madeira, Móveis e Decorações",Aberto ao público,maio,21 de maio de 2026,24 de maio de 2026,Parque de Exposições Tancredo de Almeida Neves (Parque da Efapi),Chapecó,SC,THF Marketing e Eventos,49 3312-0987,http://www.instagram.com/feirasupercasa/
C6 Fest (São Paulo),,Nacional,acima de 10.000,"Radio,TV, Música, Cine, Foto, Imagem e Som",Aberto ao público mediante ingresso,maio,21 de maio de 2026,24 de maio de 2026,Parque Ibirapuera,São Paulo,SP,Dueto Produções,,http://www.instagram.com/c6fest/
FENAHABIT - Feira Nacional das Tecnologias da Habitação e Imobiliário (Feira Fenahabit ) (Maio),21ª edição,Nacional,de 5.000 a 10.000,Construção Civil,Aberto ao público,maio,21 de maio de 2026,24 de maio de 2026,Parque de Exposições Vila Germânica,Blumenau,SC,Via Ápia Eventos Feiras Congressos e Promoções Ltda,47 3336-3314,http://www.viaapiaeventos.com/feira-fenahabit
AGROPOLO - Feira Agropecuária de Paulo Lopes,5ª edição,Regional,de 5.000 a 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,21 de maio de 2026,24 de maio de 2026,Parque de Eventos Municipal,Paulo Lopes,SC,Prefeitura de Paulo Lopes,48 3253-0161,http://www.instagram.com/feiraagropolo/
Feira do Livro de Joinville 2026,22ª edição,Regional,acima de 10.000,Cultura e Educação,Aberto ao público,maio,21 de maio de 2026,31 de maio de 2026,Centreventos Cau Hansen,Joinville,SC,Instituto Feira do Livro de Joinville (Instituto da Educação e do Livro),47 3422-1133,http://www.instagram.com/feiradolivrojlle/
Senior Experience 2026,,Nacional,de 5.000 a 10.000,Construção Civil,Aberto ao público mediante convite,maio,21 de maio de 2026,21 de maio de 2026,Transamérica Expo Center,São Paulo,SP,Senior Sistemas (Senior Mega),47 3221-3300,http://www.seniorexperience.com.br
Manufacturing Summit Brazil 2026 (Brasil Manufacturing Summit 2026),,Nacional,até 1.000,Tecnologia Industrial,Especializado mediante convite e ingresso,maio,21 de maio de 2026,21 de maio de 2026,Nacional Inn Jaraguá,São Paulo,SP,W6connect do Brasil (W6 Industry Dynamics),11 3280-2804,http://manufacturingsummitbrazil.com
Franchise4U Recife,,Regional,de 1.000 a 5.000,"Empreendedorismo, Negócios e Franquias",Aberto ao público,maio,21 de maio de 2026,21 de maio de 2026,Hotel Gran Mercure Recife Boa Viagem,Recife,PE,Franchise4U,11 97595-4454,http://franchise4u.com.br/feira/recife-2026
Business Leaders Club São Paulo 2026,,Nacional,até 1.000,"Informática, Telecomunicações e TI",Aberto ao público mediante ingresso,maio,21 de maio de 2026,21 de maio de 2026,Hotel São Paulo,São Paulo,SP,Business Leaders,11 94552-9979,http://www.businessleaders.com.br/cioleaderssaopaulo
Festa de São Sebastião (Ibiúna),,Regional,de 5.000 a 10.000,Feiras Multisetoriais,Aberto ao público,maio,21 de maio de 2026,02 de junho de 2026,Praça da Matriz,Ibiúna,SP,Festa de São Sebastião e do Divino Espírito Santo,,http://www.instagram.com/fssibiuna/
Festa Junina de Votorantim 2026,8ª edição,Regional,acima de 10.000,Feiras Multisetoriais,Aberto ao público mediante ingresso,maio,21 de maio de 2026,21 de junho de 2026,Praça Lecy de Campos,Votorantim,SP,Prefeitura de Votorantim,15 98800-2222,http://www.instagram.com/festajuninavotorantim_oficial/
Business Leaders Fórum,,Nacional,até 1.000,"Informática, Telecomunicações e TI",Aberto ao público mediante ingresso,maio,21 de maio de 2026,22 de maio de 2026,Royal Palm Plaza Resort,Campinas,SP,Business Leaders,11 94552-9979,http://www.businessleaders.com.br/blclubsp
Andro Summit 2026,,Nacional,até 1.000,"Saúde: Tecnologia, Equipamentos e Pesquisa",Especializado mediante convite e ingresso,maio,22 de maio de 2026,23 de maio de 2026,Centro de Treinamento Inrad - HCFMUSP,São Paulo,SP,RV Mais Eventos (RV+ Eventos),11 3888-2222,http://www.androsummit.com.br
Feira de Aves Seara Paraná,1ª edição,Regional,de 1.000 a 5.000,"Agropecuário, Comercial e Industrial",Restrito a profissionais do setor,maio,22 de maio de 2026,22 de maio de 2026,Arapongas,Arapongas,PR,AgroExperts,11 99780-1621,http://www.instagram.com/agroexpertsbr/
Taste of São Paulo (Taste São Paulo Festival),10ª edição,Nacional,de 5.000 a 10.000,Alimentos e Bebidas,Aberto ao público mediante ingresso,maio,22 de maio de 2026,07 de junho de 2026,Parque Villa-Lobos,São Paulo,SP,IMM Esporte & Entretenimento,11 2103-4700,http://brasil.tastefestivals.com
Congresso Sul Brasileiro de Nutrição Funcional (Congresso Sul da VP Nutrição Funcional),6ª edição,,de 1.000 a 5.000,Alimentos e Bebidas,Aberto ao público mediante convite,maio,22 de maio de 2026,23 de maio de 2026,Centrosul - Centro de Convenções de Florianópolis,Florianópolis,SC,VP Centro de Nutrição Funcional (VP Consultoria Nutricional),11 3582-5600,http://www.instagram.com/congressodenutricaosul/
EBC 2026 - Empreende Brazil Conference,11ª edição,Nacional,de 1.000 a 5.000,"Empreendedorismo, Negócios e Franquias",Aberto ao público mediante ingresso,maio,22 de maio de 2026,23 de maio de 2026,Arena Opus,São José,SC,LuschAgência 360º,48 3030-7322,http://empreendebrazil.com.br
Imersão Anpop 2026,,Nacional,de 1.000 a 5.000,"Empreendedorismo, Negócios e Franquias",Aberto ao público mediante ingresso,maio,22 de maio de 2026,23 de maio de 2026,Novotel Center Norte,São Paulo,SP,Associaçāo Nacional de Profissionais de Organizaçāo e Produtividade (ANPOP BRASIL),11 99188-5422,http://imersaoanpop.com.br
Marketplace Experience 2026,3ª edição,Nacional,de 1.000 a 5.000,"Empreendedorismo, Negócios e Franquias",Aberto ao público mediante ingresso,maio,22 de maio de 2026,23 de maio de 2026,Nova Friburgo,Nova Friburgo,RJ,MAP | Educação em Marketplace,22 99273-9837,http://www.instagram.com/marketplace.experience/
Contox Belo Horizonte 2026,,Nacional,de 1.000 a 5.000,"Saúde: Tecnologia, Equipamentos e Pesquisa",Restrito a profissionais do setor,maio,22 de maio de 2026,23 de maio de 2026,Mercure BH Lourdes Hotel,Belo Horizonte,MG,CONTOX,51 99982-8461,http://www.contox.com.br/contox-belo-horizonte/
Jornada Sul Brasileira de Cirurgia Plástica,41ª edição,Nacional,de 1.000 a 5.000,"Saúde: Tecnologia, Equipamentos e Pesquisa",Restrito a profissionais do setor,maio,23 de abril de 2026,25 de abril de 2026,Hilton Porto Alegre,Porto Alegre,RS,Sociedade Brasileira de Cirurgia Plástica (SBCP),11 3044-0000,http://sbcpsulbrasileira.com.br
MARA CAKES FAIR 2026 - Feira Internacional de Confeitaria (São Paulo),6ª edição,Nacional,acima de 10.000,Alimentos e Bebidas,Aberto ao público mediante ingresso,maio,23 de abril de 2026,26 de abril de 2026,São Paulo Expo Exhibition & Convention Center,São Paulo,SP,Mara Cakes,11 3197-4245,http://www.maracakesfair.com.br
Evento Casar.com (Evento Casar) (São Paulo),24ª edição,Nacional,de 5.000 a 10.000,"Casamentos, Formaturas e Festas",Aberto ao público mediante ingresso,maio,23 de maio de 2026,26 de maio de 2026,São Paulo,São Paulo,SP,Casar Eventos Ltda,11 3842-9175,http://eventos.casar.com
Liderando Pessoas Com Foco em Resultados,,Nacional,de 1.000 a 5.000,"Empreendedorismo, Negócios e Franquias",Aberto ao público mediante ingresso,maio,23 de maio de 2026,23 de maio de 2026,Expo Dom Pedro,Campinas,SP,Corpo RH Desenvolvimento,19 3291-7232,http://corporheventos.com.br/liderando/
Churrasco On Fire (Londrina),,Regional,de 1.000 a 5.000,Alimentos e Bebidas,Aberto ao público,maio,23 de maio de 2026,23 de maio de 2026,Londrina,Londrina,PR,Churrasco On Fire (Churrasco OnFire),,http://churrascoonfire.com.br
